listing_id,name,host_id,host_name,Boroughs,neighbourhood,price,number_of_reviews,last_review,reviews_per_month,availability_365,Boroughs_ID
4376618,Beautiful Room For Rent in Astoria ,20828747,Katerina,Queens,Ditmars Steinway,45,129,9/26/2017,3.62,151,4.0
3835757,...New lower rates for low season!!,3339701,Angelo,Queens,Ditmars Steinway,50,132,9/17/2017,3.46,336,4.0
18268446,Spacios bedroom near Astoria Park,52614857,Alina,Queens,Ditmars Steinway,60,2,9/22/2017,2.0,64,4.0
13770780,Super sunny and spacious! Privacy!,38404959,Maria,Queens,Ditmars Steinway,60,5,9/3/2017,0.96,362,4.0
16302869,Modern & Cozy Room in Elegant Apt in Astoria,27951037,Kirsten,Queens,Ditmars Steinway,65,37,9/18/2017,3.85,32,4.0
4767748,"Apt in Astoria, Queens.15min to NYC",24597265,Freda,Queens,Ditmars Steinway,105,63,9/26/2017,2.16,278,4.0
9078187,Perfect 1BR 13 Min to Manhattan,20482899,Neal,Queens,Ditmars Steinway,83,100,10/1/2017,4.4,328,4.0
13276320,Beautiful place sunny and quite,74823629,Roberto,Queens,Ditmars Steinway,125,5,12/29/2016,0.34,32,4.0
12380704,COZY ROOM CLOSE TO ASTORIA PARK,45174355,Melissa,Queens,Ditmars Steinway,45,6,9/17/2017,3.1,318,4.0
14215061,Cozy Room in Astoria,75480489,Ramazan,Queens,Ditmars Steinway,70,7,9/22/2017,0.53,344,4.0
19915657,SUNNY PRIVATE ROOM,139357580,Shuly,Queens,Ditmars Steinway,49,14,9/12/2017,5.75,318,4.0
2745140,Astoria Room 20 min To Manhattan,1172202,Funda,Queens,Ditmars Steinway,60,105,9/18/2017,2.57,135,4.0
6677008,Comfy Room for A Good Rest,34947039,Ginn,Queens,Ditmars Steinway,52,2,5/7/2017,0.07,0,4.0
13101001,"Medium, Sunny, Quiet private room",50826382,Esen,Queens,Ditmars Steinway,58,7,9/17/2017,0.53,293,4.0
57166,Elegant NYC Pad,272006,Vasili,Queens,Ditmars Steinway,140,11,11/14/2016,0.13,278,4.0
